ticker,company,collect_date,window_type,earnings_date,offset_from_ed,source_event_ticker
AAPL,Apple,2025-01-29,sentiment,2025-01-30,-1,
AAPL,Apple,2025-01-28,sentiment,2025-01-30,-2,
AAPL,Apple,2025-01-27,sentiment,2025-01-30,-3,
AAPL,Apple,2025-01-26,sentiment,2025-01-30,-4,
AAPL,Apple,2025-01-25,sentiment,2025-01-30,-5,
AAPL,Apple,2025-01-24,sentiment,2025-01-30,-6,
AAPL,Apple,2025-01-23,sentiment,2025-01-30,-7,
AAPL,Apple,2024-12-31,quiet,2025-01-30,-30,
AAPL,Apple,2024-12-30,quiet,2025-01-30,-31,
AAPL,Apple,2024-12-29,quiet,2025-01-30,-32,
AAPL,Apple,2024-12-28,quiet,2025-01-30,-33,
AAPL,Apple,2024-12-27,quiet,2025-01-30,-34,
AAPL,Apple,2024-12-26,quiet,2025-01-30,-35,
AAPL,Apple,2024-12-25,quiet,2025-01-30,-36,
AAPL,Apple,2024-12-24,quiet,2025-01-30,-37,
AAPL,Apple,2024-10-30,sentiment,2024-10-31,-1,
AAPL,Apple,2024-10-29,sentiment,2024-10-31,-2,
AAPL,Apple,2024-10-28,sentiment,2024-10-31,-3,
AAPL,Apple,2024-10-27,sentiment,2024-10-31,-4,
AAPL,Apple,2024-10-26,sentiment,2024-10-31,-5,
AAPL,Apple,2024-10-25,sentiment,2024-10-31,-6,
AAPL,Apple,2024-10-24,sentiment,2024-10-31,-7,
AAPL,Apple,2024-10-01,quiet,2024-10-31,-30,
AAPL,Apple,2024-09-30,quiet,2024-10-31,-31,
AAPL,Apple,2024-09-29,quiet,2024-10-31,-32,
AAPL,Apple,2024-09-28,quiet,2024-10-31,-33,
AAPL,Apple,2024-09-27,quiet,2024-10-31,-34,
AAPL,Apple,2024-09-26,quiet,2024-10-31,-35,
AAPL,Apple,2024-09-25,quiet,2024-10-31,-36,
AAPL,Apple,2024-09-24,quiet,2024-10-31,-37,
AAPL,Apple,2024-07-31,sentiment,2024-08-01,-1,
AAPL,Apple,2024-07-30,sentiment,2024-08-01,-2,
AAPL,Apple,2024-07-29,sentiment,2024-08-01,-3,
AAPL,Apple,2024-07-28,sentiment,2024-08-01,-4,
AAPL,Apple,2024-07-27,sentiment,2024-08-01,-5,
