ticker,collect_date
AAPL,2021-12-19
AAPL,2021-12-20
AAPL,2021-12-21
AAPL,2021-12-22
AAPL,2021-12-23
AAPL,2021-12-24
AAPL,2021-12-25
AAPL,2021-12-26
AAPL,2021-12-27
AAPL,2021-12-28
AAPL,2021-12-29
AAPL,2021-12-30
AAPL,2021-12-31
AAPL,2022-01-01
AAPL,2022-01-02
AAPL,2022-01-03
AAPL,2022-01-04
AAPL,2022-01-10
AAPL,2022-01-11
AAPL,2022-01-12
AAPL,2022-01-13
AAPL,2022-01-14
AAPL,2022-01-15
AAPL,2022-01-16
AAPL,2022-01-17
AAPL,2022-01-18
AAPL,2022-01-19
AAPL,2022-01-20
AAPL,2022-01-21
AAPL,2022-01-22
AAPL,2022-01-23
AAPL,2022-01-24
AAPL,2022-01-25
AAPL,2022-01-26
AAPL,2022-01-27
AAPL,2022-01-28
AAPL,2022-01-29
AAPL,2022-01-30
AAPL,2022-01-31
AAPL,2022-02-01
AAPL,2022-02-02
AAPL,2022-02-09
AAPL,2022-02-10
AAPL,2022-02-11
AAPL,2022-02-12
AAPL,2022-02-13
AAPL,2022-02-14
AAPL,2022-02-15
AAPL,2022-03-14
AAPL,2022-03-15
AAPL,2022-03-16
AAPL,2022-03-17
AAPL,2022-03-18
AAPL,2022-03-19
AAPL,2022-03-20
AAPL,2022-03-21
AAPL,2022-03-22
AAPL,2022-03-23
AAPL,2022-03-24
AAPL,2022-03-25
AAPL,2022-03-26
AAPL,2022-03-27
AAPL,2022-03-28
AAPL,2022-03-29
AAPL,2022-04-13
AAPL,2022-04-14
AAPL,2022-04-15
AAPL,2022-04-16
AAPL,2022-04-17
AAPL,2022-04-18
AAPL,2022-04-19
AAPL,2022-04-20
AAPL,2022-04-21
AAPL,2022-04-22
AAPL,2022-04-23
AAPL,2022-04-24
AAPL,2022-04-25
AAPL,2022-04-26
AAPL,2022-04-27
AAPL,2022-05-18
AAPL,2022-05-19
AAPL,2022-05-20
AAPL,2022-05-21
AAPL,2022-05-22
AAPL,2022-05-23
AAPL,2022-05-24
AAPL,2022-06-13
AAPL,2022-06-14
AAPL,2022-06-15
AAPL,2022-06-16
AAPL,2022-06-17
AAPL,2022-06-18
AAPL,2022-06-19
AAPL,2022-06-20
AAPL,2022-06-21
AAPL,2022-06-22
AAPL,2022-06-23
AAPL,2022-06-24
AAPL,2022-06-25
AAPL,2022-06-26
AAPL,2022-06-27
AAPL,2022-06-28
AAPL,2022-07-13
AAPL,2022-07-14
AAPL,2022-07-15
AAPL,2022-07-16
AAPL,2022-07-17
AAPL,2022-07-18
AAPL,2022-07-19
AAPL,2022-07-20
AAPL,2022-07-21
AAPL,2022-07-22
AAPL,2022-07-23
AAPL,2022-07-24
AAPL,2022-07-25
AAPL,2022-07-26
AAPL,2022-07-27
AAPL,2022-08-17
AAPL,2022-08-18
AAPL,2022-08-19
AAPL,2022-08-20
AAPL,2022-08-21
AAPL,2022-08-22
AAPL,2022-08-23
AAPL,2022-09-12
AAPL,2022-09-13
AAPL,2022-09-14
AAPL,2022-09-15
AAPL,2022-09-16
AAPL,2022-09-17
AAPL,2022-09-18
AAPL,2022-09-19
AAPL,2022-09-20
AAPL,2022-09-21
AAPL,2022-09-22
AAPL,2022-09-23
AAPL,2022-09-24
AAPL,2022-09-25
AAPL,2022-09-26
AAPL,2022-09-27
AAPL,2022-10-10
AAPL,2022-10-11
AAPL,2022-10-12
AAPL,2022-10-13
AAPL,2022-10-14
AAPL,2022-10-15
AAPL,2022-10-16
AAPL,2022-10-17
AAPL,2022-10-18
AAPL,2022-10-19
AAPL,2022-10-20
AAPL,2022-10-21
AAPL,2022-10-22
AAPL,2022-10-23
AAPL,2022-10-24
AAPL,2022-10-25
AAPL,2022-10-26
AAPL,2022-11-09
AAPL,2022-11-10
AAPL,2022-11-11
AAPL,2022-11-12
AAPL,2022-11-13
AAPL,2022-11-14
AAPL,2022-11-15
AAPL,2022-12-18
AAPL,2022-12-19
AAPL,2022-12-20
AAPL,2022-12-21
AAPL,2022-12-22
AAPL,2022-12-23
AAPL,2022-12-24
AAPL,2022-12-25
AAPL,2022-12-26
AAPL,2022-12-27
AAPL,2022-12-28
AAPL,2022-12-29
AAPL,2022-12-30
AAPL,2022-12-31
AAPL,2023-01-01
AAPL,2023-01-02
AAPL,2023-01-03
AAPL,2023-01-16
AAPL,2023-01-17
AAPL,2023-01-18
AAPL,2023-01-19
AAPL,2023-01-20
AAPL,2023-01-21
AAPL,2023-01-22
AAPL,2023-01-23
AAPL,2023-01-24
AAPL,2023-01-25
AAPL,2023-01-26
AAPL,2023-01-27
AAPL,2023-01-28
AAPL,2023-01-29
AAPL,2023-01-30
AAPL,2023-01-31
AAPL,2023-02-01
AAPL,2023-02-15
AAPL,2023-02-16
AAPL,2023-02-17
AAPL,2023-02-18
AAPL,2023-02-19
AAPL,2023-02-20
AAPL,2023-02-21
AAPL,2023-03-13
AAPL,2023-03-14
AAPL,2023-03-15
AAPL,2023-03-16
AAPL,2023-03-17
AAPL,2023-03-18
AAPL,2023-03-19
AAPL,2023-03-20
AAPL,2023-03-21
AAPL,2023-03-22
AAPL,2023-03-23
AAPL,2023-03-24
AAPL,2023-03-25
AAPL,2023-03-26
AAPL,2023-03-27
AAPL,2023-03-28
AAPL,2023-03-29
AAPL,2023-03-30
AAPL,2023-03-31
AAPL,2023-04-01
AAPL,2023-04-02
AAPL,2023-04-03
AAPL,2023-04-04
AAPL,2023-04-12
AAPL,2023-04-13
AAPL,2023-04-14
AAPL,2023-04-15
AAPL,2023-04-16
AAPL,2023-04-17
AAPL,2023-04-18
AAPL,2023-04-19
AAPL,2023-04-20
AAPL,2023-04-21
AAPL,2023-04-22
AAPL,2023-04-23
AAPL,2023-04-24
AAPL,2023-04-25
AAPL,2023-04-26
AAPL,2023-04-27
AAPL,2023-04-28
AAPL,2023-04-29
AAPL,2023-04-30
AAPL,2023-05-01
AAPL,2023-05-02
AAPL,2023-05-03
AAPL,2023-05-17
AAPL,2023-05-18
AAPL,2023-05-19
AAPL,2023-05-20
AAPL,2023-05-21
AAPL,2023-05-22
AAPL,2023-05-23
AAPL,2023-06-12
AAPL,2023-06-13
AAPL,2023-06-14
AAPL,2023-06-15
AAPL,2023-06-16
AAPL,2023-06-17
AAPL,2023-06-18
AAPL,2023-06-19
AAPL,2023-06-20
AAPL,2023-06-21
AAPL,2023-06-22
AAPL,2023-06-23
AAPL,2023-06-24
AAPL,2023-06-25
AAPL,2023-06-26
AAPL,2023-06-27
AAPL,2023-06-28
AAPL,2023-06-29
AAPL,2023-06-30
AAPL,2023-07-01
AAPL,2023-07-02
AAPL,2023-07-03
AAPL,2023-07-04
AAPL,2023-07-12
AAPL,2023-07-13
AAPL,2023-07-14
AAPL,2023-07-15
AAPL,2023-07-16
AAPL,2023-07-17
AAPL,2023-07-18
AAPL,2023-07-19
AAPL,2023-07-20
AAPL,2023-07-21
AAPL,2023-07-22
AAPL,2023-07-23
AAPL,2023-07-24
AAPL,2023-07-25
AAPL,2023-07-27
AAPL,2023-07-28
AAPL,2023-07-29
AAPL,2023-07-30
AAPL,2023-07-31
AAPL,2023-08-01
AAPL,2023-08-02
AAPL,2023-08-16
AAPL,2023-08-17
AAPL,2023-08-18
AAPL,2023-08-19
AAPL,2023-08-20
AAPL,2023-08-21
AAPL,2023-08-22
AAPL,2023-09-11
AAPL,2023-09-12
AAPL,2023-09-13
AAPL,2023-09-14
AAPL,2023-09-15
AAPL,2023-09-16
AAPL,2023-09-17
AAPL,2023-09-18
AAPL,2023-09-19
AAPL,2023-09-20
AAPL,2023-09-21
AAPL,2023-09-22
AAPL,2023-09-23
AAPL,2023-09-24
AAPL,2023-09-25
AAPL,2023-09-26
AAPL,2023-09-27
AAPL,2023-09-28
AAPL,2023-09-29
AAPL,2023-09-30
AAPL,2023-10-01
AAPL,2023-10-02
AAPL,2023-10-03
AAPL,2023-10-11
AAPL,2023-10-12
AAPL,2023-10-13
AAPL,2023-10-14
AAPL,2023-10-15
AAPL,2023-10-16
AAPL,2023-10-17
AAPL,2023-10-18
AAPL,2023-10-19
AAPL,2023-10-20
AAPL,2023-10-21
AAPL,2023-10-22
AAPL,2023-10-23
AAPL,2023-10-24
AAPL,2023-10-25
AAPL,2023-10-26
AAPL,2023-10-27
AAPL,2023-10-28
AAPL,2023-10-29
AAPL,2023-10-30
AAPL,2023-10-31
AAPL,2023-11-01
AAPL,2023-11-14
AAPL,2023-11-15
AAPL,2023-11-16
AAPL,2023-11-17
AAPL,2023-11-18
AAPL,2023-11-19
AAPL,2023-11-20
AAPL,2023-12-18
AAPL,2023-12-19
AAPL,2023-12-20
AAPL,2023-12-21
AAPL,2023-12-22
AAPL,2023-12-23
AAPL,2023-12-24
AAPL,2023-12-25
AAPL,2023-12-26
AAPL,2023-12-27
AAPL,2023-12-28
AAPL,2023-12-29
AAPL,2023-12-30
AAPL,2023-12-31
AAPL,2024-01-01
AAPL,2024-01-02
AAPL,2024-01-15
AAPL,2024-01-16
AAPL,2024-01-17
AAPL,2024-01-18
AAPL,2024-01-19
AAPL,2024-01-20
AAPL,2024-01-21
AAPL,2024-01-22
AAPL,2024-01-23
AAPL,2024-01-24
AAPL,2024-01-25
AAPL,2024-01-26
AAPL,2024-01-27
AAPL,2024-01-28
AAPL,2024-01-29
AAPL,2024-01-30
AAPL,2024-01-31
AAPL,2024-02-14
AAPL,2024-02-15
AAPL,2024-02-16
AAPL,2024-02-17
AAPL,2024-02-18
